Transaction_ID,Transaction_Date,Transaction_Hour,Customer_ID,Merchant_ID,Merchant_Name,Merchant_Category,City,Payment_Method,Bank_Name,Device_Type,Amount,Transaction_Status,Failure_Reason,Gateway_Response_Time_ms,Refund_Flag,Chargeback_Flag,Revenue_Fee,Settlement_Days,Is_High_Value,Risk_Score
TXN0000011,2025-06-24,12,CUST17502,MER020016,ShopSphere,E-commerce,Mumbai,UPI,HDFC Bank,iOS,880.83,Success,,1144,0,0,2.2,2.0,0,32
TXN0000012,2025-07-08,17,CUST25304,MER030106,RideGo,Travel,Bengaluru,Debit Card,Bank of Baroda,Android,5018.21,Success,,1005,0,0,50.18,1.0,0,59
TXN0000013,2025-04-19,21,CUST11658,MER010026,Snackzy,Food & Delivery,Ahmedabad,UPI,Kotak Mahindra Bank,Android,765.77,Success,,860,0,0,1.91,1.0,0,41
TXN0000014,2025-11-08,11,CUST23862,MER020074,ClickZone,E-commerce,Kochi,Net Banking,SBI,Android,3216.38,Success,,475,0,0,38.6,1.0,0,42
TXN0000015,2026-02-26,3,CUST11864,MER040041,Tutorly,Education,Hyderabad,UPI,Canara Bank,Android,1174.22,Success,,680,0,0,2.94,2.0,0,30
TXN0000016,2026-04-27,2,CUST18704,MER020062,MegaMart,E-commerce,Mumbai,UPI,IndusInd Bank,iOS,914.9,Success,,1065,0,0,2.29,3.0,0,31
TXN0000017,2025-03-19,15,CUST22109,MER020063,ShopSphere,E-commerce,Bengaluru,UPI,Axis Bank,iOS,845.91,Success,,790,0,0,2.11,2.0,0,24
TXN0000018,2026-03-07,18,CUST15094,MER010142,QuickBite,Food & Delivery,Bengaluru,UPI,ICICI Bank,Mobile Web,300.97,Success,,678,0,0,0.75,3.0,0,33
TXN0000019,2025-02-09,10,CUST15295,MER020068,CartBee,E-commerce,Bengaluru,UPI,Bank of Baroda,Web,2555.9,Failed,Payment Gateway Timeout,2655,0,0,0.0,,0,33
TXN0000020,2025-04-26,18,CUST39458,MER010094,FoodKart,Food & Delivery,Bengaluru,Credit Card,Canara Bank,iOS,260.48,Success,,499,0,0,4.69,3.0,0,26
TXN0000021,2025-05-01,1,CUST15878,MER080007,UrbanBazaar,Retail,Kochi,Net Banking,Axis Bank,Web,2049.58,Success,,652,0,0,24.59,2.0,0,61
TXN0000022,2025-03-25,23,CUST20001,MER080090,UrbanBazaar,Retail,Mumbai,UPI,HDFC Bank,Web,503.35,Failed,Payment Gateway Timeout,3033,0,0,0.0,,0,26
TXN0000023,2025-09-30,17,CUST38739,MER020030,ShopSphere,E-commerce,Kolkata,Credit Card,Bank of Baroda,iOS,2853.17,Success,,1024,0,0,51.36,1.0,0,47
TXN0000024,2025-10-27,4,CUST21935,MER010051,Snackzy,Food & Delivery,Pune,Net Banking,Axis Bank,Android,136.57,Success,,676,0,0,1.64,1.0,0,55
TXN0000025,2025-11-14,4,CUST30170,MER060045,BillStack,SaaS,Mumbai,UPI,Kotak Mahindra Bank,iOS,3427.98,Success,,658,0,0,8.57,1.0,0,41
TXN0000026,2025-12-10,3,CUST19300,MER100022,InvestPlus,Financial Services,Kolkata,UPI,Axis Bank,iOS,3135.53,Success,,1263,0,0,7.84,1.0,0,27
TXN0000027,2025-01-19,23,CUST33539,MER030050,VoyagePro,Travel,Pune,UPI,Yes Bank,iOS,4752.13,Failed,Payment Gateway Timeout,3913,0,0,0.0,,0,36
TXN0000028,2025-03-24,18,CUST18166,MER040143,LearnLoop,Education,Jaipur,Debit Card,Axis Bank,Android,1309.68,Success,,785,0,0,13.1,2.0,0,20
TXN0000029,2026-01-28,1,CUST34635,MER090067,UtilityDesk,Utilities,Bengaluru,UPI,IDFC First Bank,Android,265.59,Success,,535,0,0,0.66,1.0,0,37
TXN0000030,2025-07-31,1,CUST12105,MER020055,CartBee,E-commerce,Bengaluru,UPI,IDFC First Bank,Android,1149.65,Success,,869,0,0,2.87,3.0,0,30
TXN0000031,2025-01-16,4,CUST27637,MER020108,ClickZone,E-commerce,Bengaluru,Net Banking,IndusInd Bank,Android,2578.31,Success,,739,0,0,30.94,1.0,0,30
TXN0000032,2025-11-11,1,CUST31726,MER040145,CourseKart,Education,Kochi,Debit Card,Yes Bank,Mobile Web,1322.53,Success,,928,0,0,13.23,1.0,0,51
TXN0000033,2025-11-24,10,CUST31304,MER010058,FoodKart,Food & Delivery,Pune,UPI,ICICI Bank,Android,107.99,Success,,717,0,0,0.27,1.0,0,28
TXN0000034,2025-07-19,0,CUST13543,MER070080,PlayRush,Gaming,Kochi,Debit Card,SBI,iOS,1700.9,Success,,589,0,0,17.01,2.0,0,16
TXN0000035,2026-05-03,4,CUST21378,MER010011,Snackzy,Food & Delivery,Chennai,UPI,Kotak Mahindra Bank,Web,601.59,Failed,Bank Server Timeout,3145,0,0,0.0,,0,53
TXN0000036,2026-01-16,18,CUST34046,MER070046,XPZone,Gaming,Kolkata,UPI,Canara Bank,iOS,580.59,Success,,461,0,0,1.45,2.0,0,17
TXN0000037,2025-09-08,8,CUST21024,MER080098,ValueMart,Retail,Delhi,Net Banking,ICICI Bank,Android,824.74,Success,,623,0,0,9.9,1.0,0,42
TXN0000038,2025-05-29,9,CUST35983,MER070115,XPZone,Gaming,Pune,UPI,Bank of Baroda,iOS,269.33,Success,,959,0,0,0.67,1.0,0,31
TXN0000039,2026-03-04,11,CUST13918,MER010081,UrbanMeals,Food & Delivery,Mumbai,UPI,Yes Bank,Android,693.75,Success,,641,0,0,1.73,3.0,0,34
TXN0000040,2025-05-31,18,CUST11787,MER040012,EduPrime,Education,Bengaluru,UPI,Canara Bank,Android,3684.05,Success,,1223,0,0,9.21,1.0,0,55
TXN0000041,2025-12-09,2,CUST26114,MER010103,QuickBite,Food & Delivery,Ahmedabad,UPI,HDFC Bank,Android,166.82,Success,,898,0,0,0.42,1.0,0,43
TXN0000042,2025-11-20,6,CUST38186,MER030077,RideGo,Travel,Hyderabad,Credit Card,IndusInd Bank,Android,3590.77,Success,,811,0,0,64.63,2.0,0,31
TXN0000043,2025-07-25,13,CUST32590,MER010116,DailyDine,Food & Delivery,Hyderabad,Credit Card,SBI,Android,624.06,Success,,1254,0,0,11.23,3.0,0,38
TXN0000044,2026-05-01,11,CUST12340,MER060037,CRMFlow,SaaS,Hyderabad,Credit Card,Axis Bank,Android,5706.63,Success,,717,0,0,102.72,1.0,0,48
TXN0000045,2026-02-24,9,CUST10848,MER070065,GameKart,Gaming,Ahmedabad,Credit Card,ICICI Bank,iOS,1229.11,Success,,538,0,0,22.12,2.0,0,93
TXN0000046,2026-01-01,10,CUST25402,MER050024,ClinicKart,Healthcare,Mumbai,Credit Card,Yes Bank,Mobile Web,1018.56,Success,,399,0,0,18.33,3.0,0,22
TXN0000047,2026-03-04,6,CUST37032,MER100132,CreditHub,Financial Services,Mumbai,UPI,ICICI Bank,Android,3252.48,Success,,1077,0,0,8.13,1.0,0,45
TXN0000048,2026-03-03,14,CUST33259,MER010062,Snackzy,Food & Delivery,Pune,UPI,Kotak Mahindra Bank,Android,248.92,Success,,812,0,0,0.62,1.0,0,29
TXN0000049,2025-04-30,14,CUST24968,MER080063,UrbanBazaar,Retail,Mumbai,Credit Card,Kotak Mahindra Bank,iOS,1480.11,Success,,703,0,0,26.64,2.0,0,50
TXN0000050,2025-11-19,7,CUST31625,MER070149,GameKart,Gaming,Bengaluru,UPI,IDFC First Bank,Android,537.79,Success,,792,0,0,1.34,1.0,0,27
TXN0000051,2025-05-27,12,CUST34403,MER080082,StyleStreet,Retail,Mumbai,Wallet,Axis Bank,iOS,920.7,Success,,1377,0,0,12.89,3.0,0,4
TXN0000052,2025-04-09,1,CUST39834,MER080135,StyleStreet,Retail,Bengaluru,Credit Card,IndusInd Bank,Android,1111.7,Success,,1053,0,0,20.01,1.0,0,18
TXN0000053,2025-11-05,17,CUST38587,MER020125,MegaMart,E-commerce,Kolkata,Credit Card,Canara Bank,Web,1523.49,Success,,1243,0,0,27.42,3.0,0,37
TXN0000054,2026-05-08,5,CUST36089,MER090084,PowerPay,Utilities,Pune,Debit Card,ICICI Bank,Android,267.15,Success,,932,0,0,2.67,1.0,0,29
TXN0000055,2026-04-19,9,CUST30903,MER050119,CarePoint,Healthcare,Hyderabad,Net Banking,IndusInd Bank,iOS,900.78,Success,,877,0,0,10.81,1.0,0,63
TXN0000056,2025-09-26,9,CUST22606,MER020051,MegaMart,E-commerce,Delhi,Wallet,Kotak Mahindra Bank,iOS,1072.51,Failed,Customer Cancelled,3937,0,0,0.0,,0,29
TXN0000057,2025-11-04,10,CUST37291,MER100128,WealthKart,Financial Services,Pune,UPI,IndusInd Bank,Web,5883.63,Success,,511,0,0,14.71,2.0,0,46
TXN0000058,2026-05-28,0,CUST11094,MER060113,CRMFlow,SaaS,Ahmedabad,Debit Card,SBI,iOS,4260.06,Success,,966,0,0,42.6,1.0,0,48
TXN0000059,2025-10-12,4,CUST34464,MER080076,UrbanBazaar,Retail,Mumbai,Credit Card,Kotak Mahindra Bank,Web,1285.46,Success,,664,0,0,23.14,2.0,0,35
TXN0000060,2026-03-09,21,CUST22486,MER030150,HotelHut,Travel,Hyderabad,UPI,Bank of Baroda,Android,1613.47,Success,,934,0,0,4.03,1.0,0,64
TXN0000061,2025-12-27,14,CUST26143,MER010078,QuickBite,Food & Delivery,Bengaluru,Net Banking,Kotak Mahindra Bank,iOS,324.93,Success,,789,0,0,3.9,1.0,0,24
TXN0000062,2026-04-02,4,CUST19167,MER080105,ValueMart,Retail,Chennai,Debit Card,SBI,Web,549.24,Success,,1072,0,0,5.49,1.0,0,6
TXN0000063,2026-05-16,20,CUST31718,MER100024,CreditHub,Financial Services,Kochi,UPI,Bank of Baroda,Android,1142.54,Success,,834,0,0,2.86,1.0,0,44
TXN0000064,2026-03-07,11,CUST19086,MER080001,ValueMart,Retail,Mumbai,UPI,Axis Bank,Web,2215.44,Success,,993,0,0,5.54,1.0,0,42
TXN0000065,2025-07-04,19,CUST34434,MER080030,ValueMart,Retail,Bengaluru,Credit Card,HDFC Bank,Android,518.04,Success,,1115,0,0,9.32,2.0,0,23
TXN0000066,2026-05-27,18,CUST32483,MER100110,CreditHub,Financial Services,Bengaluru,Credit Card,Yes Bank,iOS,1521.1,Success,,982,0,0,27.38,2.0,0,37
TXN0000067,2025-10-23,20,CUST33621,MER030142,TripNest,Travel,Hyderabad,Wallet,IDFC First Bank,Android,6438.88,Success,,676,0,0,90.14,1.0,0,46
TXN0000068,2025-08-31,17,CUST13055,MER030022,TripNest,Travel,Chennai,Credit Card,Canara Bank,Mobile Web,2163.98,Failed,Risk Check Failed,2940,0,0,0.0,,0,30
TXN0000069,2026-03-13,6,CUST19426,MER100014,CreditHub,Financial Services,Ahmedabad,UPI,ICICI Bank,Android,3590.25,Success,,765,0,0,8.98,2.0,0,31
TXN0000070,2025-10-13,11,CUST10861,MER080143,ValueMart,Retail,Kolkata,UPI,Kotak Mahindra Bank,iOS,1963.58,Success,,790,0,0,4.91,1.0,0,34
TXN0000071,2025-05-21,21,CUST34449,MER080024,StyleStreet,Retail,Bengaluru,Net Banking,IndusInd Bank,iOS,1420.38,Success,,893,0,0,17.04,2.0,0,30
TXN0000072,2025-02-10,20,CUST29893,MER030125,RideGo,Travel,Bengaluru,UPI,IndusInd Bank,Android,2708.76,Success,,722,0,0,6.77,1.0,0,35
TXN0000073,2025-08-28,13,CUST35041,MER020036,CartBee,E-commerce,Bengaluru,UPI,Bank of Baroda,Mobile Web,865.26,Success,,870,0,0,2.16,1.0,0,58
TXN0000074,2025-10-03,2,CUST24067,MER010148,FoodKart,Food & Delivery,Delhi,UPI,HDFC Bank,Android,706.32,Failed,Bank Server Timeout,2820,0,0,0.0,,0,29
TXN0000075,2026-04-26,2,CUST27170,MER020103,Trendora,E-commerce,Kolkata,UPI,Canara Bank,Android,1957.06,Success,,748,0,0,4.89,2.0,0,36
TXN0000076,2025-09-30,16,CUST34911,MER020040,Trendora,E-commerce,Bengaluru,Debit Card,SBI,Android,1875.39,Success,,739,0,0,18.75,2.0,0,57
TXN0000077,2026-03-15,10,CUST25366,MER020018,ClickZone,E-commerce,Kochi,Credit Card,IndusInd Bank,Android,1212.52,Success,,937,0,0,21.83,1.0,0,34
TXN0000078,2025-08-11,23,CUST24737,MER030011,VoyagePro,Travel,Hyderabad,UPI,ICICI Bank,iOS,9384.18,Success,,1178,0,0,23.46,2.0,0,42
TXN0000079,2025-09-24,18,CUST27173,MER020113,ClickZone,E-commerce,Bengaluru,Wallet,ICICI Bank,iOS,1383.64,Success,,1001,0,0,19.37,2.0,0,27
TXN0000080,2026-05-18,18,CUST20924,MER020039,Trendora,E-commerce,Chennai,UPI,Canara Bank,Android,2767.07,Success,,531,0,0,6.92,2.0,0,24
TXN0000081,2026-05-15,19,CUST31169,MER070024,GameKart,Gaming,Kolkata,Debit Card,SBI,iOS,778.19,Success,,875,0,0,7.78,1.0,0,55
TXN0000082,2025-04-17,20,CUST31691,MER080010,ValueMart,Retail,Bengaluru,UPI,Kotak Mahindra Bank,Web,578.93,Success,,1035,0,0,1.45,2.0,0,44
TXN0000083,2025-05-09,13,CUST34655,MER020073,ClickZone,E-commerce,Chennai,Debit Card,HDFC Bank,Android,2302.15,Success,,802,0,0,23.02,1.0,0,26
TXN0000084,2026-03-20,1,CUST36768,MER040042,CourseKart,Education,Pune,Wallet,Yes Bank,Web,1197.28,Success,,789,0,0,16.76,2.0,0,38
TXN0000085,2026-02-05,17,CUST37232,MER030038,VoyagePro,Travel,Bengaluru,Net Banking,Kotak Mahindra Bank,Android,734.19,Success,,1130,1,0,8.81,1.0,0,41
TXN0000086,2025-07-03,3,CUST14509,MER090038,RechargePro,Utilities,Bengaluru,UPI,ICICI Bank,Android,460.41,Success,,557,0,0,1.15,1.0,0,36
TXN0000087,2025-04-27,3,CUST11565,MER020032,MegaMart,E-commerce,Bengaluru,Credit Card,IndusInd Bank,iOS,561.18,Success,,784,0,0,10.1,2.0,0,31
TXN0000088,2026-03-23,15,CUST16138,MER020107,Trendora,E-commerce,Bengaluru,UPI,SBI,Android,1662.15,Success,,834,0,0,4.16,2.0,0,40
TXN0000089,2025-10-31,6,CUST35839,MER020092,ShopSphere,E-commerce,Kochi,Net Banking,HDFC Bank,iOS,675.66,Success,,748,0,0,8.11,1.0,0,34
TXN0000090,2025-09-20,22,CUST36592,MER100047,CreditHub,Financial Services,Chennai,Debit Card,SBI,Web,636.36,Success,,825,0,0,6.36,1.0,0,47
TXN0000091,2025-08-29,20,CUST38251,MER060092,CRMFlow,SaaS,Bengaluru,Credit Card,IDFC First Bank,Android,2367.21,Success,,1252,0,0,42.61,3.0,0,15
TXN0000092,2026-01-21,9,CUST24111,MER080021,UrbanBazaar,Retail,Hyderabad,Debit Card,Canara Bank,Mobile Web,2677.19,Failed,Card Declined,2376,0,0,0.0,,0,26
TXN0000093,2025-08-27,1,CUST18997,MER030112,HotelHut,Travel,Delhi,UPI,Bank of Baroda,Android,6655.49,Success,,986,0,0,16.64,1.0,0,55
TXN0000094,2025-01-25,4,CUST21867,MER010094,UrbanMeals,Food & Delivery,Delhi,UPI,IndusInd Bank,iOS,412.14,Success,,609,0,0,1.03,2.0,0,18
TXN0000095,2026-02-16,5,CUST26966,MER010128,UrbanMeals,Food & Delivery,Mumbai,UPI,Canara Bank,iOS,417.64,Success,,1051,0,0,1.04,3.0,0,34
TXN0000096,2026-01-17,12,CUST36559,MER090023,UtilityDesk,Utilities,Delhi,UPI,SBI,Web,1830.28,Failed,Network Error,3353,0,0,0.0,,0,30
TXN0000097,2025-08-21,23,CUST17758,MER010036,UrbanMeals,Food & Delivery,Hyderabad,Net Banking,SBI,Web,594.73,Success,,539,0,0,7.14,3.0,0,44
TXN0000098,2026-01-07,18,CUST25265,MER100116,LoanBridge,Financial Services,Bengaluru,Credit Card,Bank of Baroda,Web,4146.27,Success,,535,0,0,74.63,1.0,0,58
TXN0000099,2025-02-13,0,CUST27004,MER020089,CartBee,E-commerce,Bengaluru,Debit Card,IDFC First Bank,Android,589.54,Success,,807,0,0,5.9,1.0,0,31
TXN0000100,2026-03-28,0,CUST37042,MER080011,ValueMart,Retail,Chennai,UPI,IndusInd Bank,Web,936.26,Failed,Payment Gateway Timeout,2053,0,0,0.0,,0,18
TXN0000101,2026-02-28,18,CUST12392,MER060117,CRMFlow,SaaS,Kolkata,UPI,Kotak Mahindra Bank,iOS,3901.16,Success,,996,0,0,9.75,1.0,0,22
TXN0000102,2025-09-26,6,CUST14015,MER010120,UrbanMeals,Food & Delivery,Hyderabad,Wallet,SBI,Web,396.14,Success,,973,0,0,5.55,2.0,0,45
TXN0000103,2025-05-05,1,CUST26344,MER010120,Snackzy,Food & Delivery,Mumbai,Debit Card,IndusInd Bank,Web,1183.58,Success,,989,0,0,11.84,1.0,0,50
TXN0000104,2025-08-07,12,CUST33839,MER010068,UrbanMeals,Food & Delivery,Bengaluru,Credit Card,Yes Bank,Android,432.02,Success,,873,0,0,7.78,1.0,0,39
TXN0000105,2025-12-16,19,CUST22908,MER060025,TaskPilot,SaaS,Chennai,Debit Card,Kotak Mahindra Bank,Web,3325.82,Success,,1128,0,0,33.26,2.0,0,50
TXN0000106,2026-01-03,23,CUST15325,MER020082,Trendora,E-commerce,Hyderabad,Credit Card,SBI,iOS,957.96,Success,,558,0,0,17.24,2.0,0,45
TXN0000107,2026-01-04,20,CUST29560,MER030007,HotelHut,Travel,Bengaluru,Debit Card,Canara Bank,Android,1180.1,Success,,409,0,0,11.8,1.0,0,43
TXN0000108,2026-05-04,13,CUST10621,MER010049,QuickBite,Food & Delivery,Chennai,Debit Card,Bank of Baroda,Android,490.58,Success,,941,0,0,4.91,2.0,0,30
TXN0000109,2025-02-18,9,CUST20282,MER060097,WorkNest,SaaS,Mumbai,Debit Card,IDFC First Bank,Android,8225.21,Success,,782,0,0,82.25,2.0,0,21
TXN0000110,2025-07-25,8,CUST33099,MER020074,MegaMart,E-commerce,Mumbai,Credit Card,Axis Bank,Mobile Web,406.85,Success,,1069,0,0,7.32,1.0,0,30
TXN0000111,2026-02-26,21,CUST19426,MER080011,DailyStore,Retail,Jaipur,UPI,Bank of Baroda,Web,1954.49,Success,,667,0,0,4.89,2.0,0,40
TXN0000112,2025-07-05,20,CUST13295,MER010121,FoodKart,Food & Delivery,Mumbai,UPI,IDFC First Bank,Android,676.02,Success,,691,0,0,1.69,1.0,0,73
TXN0000113,2026-05-21,6,CUST17610,MER090147,PowerPay,Utilities,Chennai,UPI,Kotak Mahindra Bank,Android,620.6,Success,,627,0,0,1.55,3.0,0,64
TXN0000114,2025-11-05,8,CUST19778,MER090003,PowerPay,Utilities,Kochi,Debit Card,SBI,Mobile Web,588.96,Success,,827,0,0,5.89,3.0,0,49
TXN0000115,2026-01-27,15,CUST10462,MER070048,ArcadePay,Gaming,Mumbai,UPI,Axis Bank,Web,1744.18,Success,,669,0,0,4.36,2.0,0,19
TXN0000116,2026-02-05,5,CUST10224,MER010064,FoodKart,Food & Delivery,Mumbai,UPI,Bank of Baroda,iOS,394.62,Success,,204,0,0,0.99,2.0,0,36
TXN0000117,2025-07-03,12,CUST30930,MER060031,CRMFlow,SaaS,Bengaluru,UPI,ICICI Bank,Android,6056.32,Success,,729,0,0,15.14,2.0,0,28
TXN0000118,2025-11-19,23,CUST27220,MER080021,HomeKart,Retail,Kolkata,Debit Card,Yes Bank,Web,1079.36,Failed,Card Declined,3146,0,0,0.0,,0,54
TXN0000119,2026-01-28,14,CUST33492,MER040053,LearnLoop,Education,Mumbai,UPI,IDFC First Bank,Android,3327.04,Success,,819,0,0,8.32,1.0,0,10
TXN0000120,2025-12-26,3,CUST12394,MER080149,HomeKart,Retail,Delhi,Credit Card,Kotak Mahindra Bank,Web,582.27,Success,,1175,0,0,10.48,1.0,0,76
TXN0000121,2025-11-14,13,CUST39208,MER060096,BillStack,SaaS,Kochi,UPI,SBI,Web,1009.87,Success,,710,0,0,2.52,2.0,0,46
TXN0000122,2025-09-28,2,CUST19777,MER100006,LoanBridge,Financial Services,Bengaluru,UPI,IDFC First Bank,Android,2544.89,Success,,966,0,0,6.36,1.0,0,28
TXN0000123,2025-03-29,15,CUST12205,MER090053,BillEase,Utilities,Jaipur,UPI,Bank of Baroda,iOS,764.5,Success,,978,0,0,1.91,2.0,0,57
TXN0000124,2025-02-13,20,CUST17763,MER050083,Wellnest,Healthcare,Ahmedabad,UPI,Kotak Mahindra Bank,Android,1014.49,Success,,694,0,0,2.54,2.0,0,30
TXN0000125,2025-05-17,0,CUST20445,MER020135,ClickZone,E-commerce,Bengaluru,Credit Card,Bank of Baroda,iOS,1994.97,Success,,1007,0,0,35.91,2.0,0,32
TXN0000126,2025-04-23,2,CUST17958,MER050100,CarePoint,Healthcare,Kochi,Debit Card,HDFC Bank,iOS,863.24,Success,,985,0,0,8.63,1.0,0,51
TXN0000127,2025-10-20,22,CUST17112,MER080144,ValueMart,Retail,Bengaluru,Credit Card,IndusInd Bank,Android,1108.12,Failed,Risk Check Failed,4558,0,0,0.0,,0,18
TXN0000128,2025-04-02,2,CUST28091,MER070062,XPZone,Gaming,Pune,Debit Card,Yes Bank,Mobile Web,421.53,Success,,929,0,0,4.22,1.0,0,23
TXN0000129,2025-12-31,15,CUST34290,MER030057,VoyagePro,Travel,Delhi,Debit Card,Canara Bank,Mobile Web,1677.07,Success,,713,0,0,16.77,1.0,0,55
TXN0000130,2025-07-10,20,CUST15513,MER100118,CreditHub,Financial Services,Kolkata,Credit Card,Canara Bank,Android,4589.33,Success,,1101,0,0,82.61,3.0,0,51
TXN0000131,2026-02-11,23,CUST37609,MER080036,UrbanBazaar,Retail,Chennai,UPI,ICICI Bank,Mobile Web,1585.1,Success,,998,0,0,3.96,3.0,0,41
TXN0000132,2026-01-11,7,CUST27556,MER010071,Snackzy,Food & Delivery,Hyderabad,Credit Card,HDFC Bank,Android,1463.91,Success,,314,0,0,26.35,1.0,0,46
TXN0000133,2026-02-13,21,CUST28514,MER020118,ClickZone,E-commerce,Delhi,UPI,Canara Bank,Android,483.7,Failed,Customer Cancelled,4206,0,0,0.0,,0,27
TXN0000134,2026-05-20,18,CUST12710,MER030044,TripNest,Travel,Delhi,Debit Card,ICICI Bank,Android,2980.06,Success,,521,0,0,29.8,1.0,0,42
TXN0000135,2025-06-14,5,CUST28466,MER010140,FoodKart,Food & Delivery,Bengaluru,Net Banking,IndusInd Bank,Android,664.02,Success,,812,0,0,7.97,2.0,0,39
TXN0000136,2025-03-01,18,CUST22578,MER020085,Trendora,E-commerce,Kolkata,UPI,IndusInd Bank,Android,1913.91,Success,,819,0,0,4.78,1.0,0,57
TXN0000137,2025-03-01,1,CUST35676,MER080070,StyleStreet,Retail,Delhi,UPI,IndusInd Bank,Mobile Web,1037.42,Success,,756,0,0,2.59,1.0,0,32
TXN0000138,2025-04-30,18,CUST24574,MER010079,QuickBite,Food & Delivery,Mumbai,UPI,SBI,Web,446.99,Success,,973,0,0,1.12,1.0,0,41
TXN0000139,2025-10-02,21,CUST22708,MER020106,MegaMart,E-commerce,Mumbai,Credit Card,IndusInd Bank,iOS,4529.57,Success,,551,0,0,81.53,1.0,0,1
TXN0000140,2025-07-28,21,CUST35647,MER020124,MegaMart,E-commerce,Bengaluru,UPI,Yes Bank,Android,679.29,Success,,1214,0,0,1.7,1.0,0,35
TXN0000141,2025-11-04,8,CUST19845,MER030035,RideGo,Travel,Ahmedabad,UPI,IndusInd Bank,Android,1765.5,Success,,698,0,0,4.41,2.0,0,71
TXN0000142,2025-07-08,7,CUST29407,MER010052,Snackzy,Food & Delivery,Delhi,UPI,Kotak Mahindra Bank,Web,124.31,Success,,764,0,0,0.31,1.0,0,38
TXN0000143,2025-08-24,5,CUST29079,MER010123,Snackzy,Food & Delivery,Pune,UPI,SBI,iOS,442.77,Success,,658,0,0,1.11,2.0,0,54
TXN0000144,2026-02-22,0,CUST28456,MER060012,TaskPilot,SaaS,Mumbai,Credit Card,ICICI Bank,Android,1830.94,Failed,Incorrect OTP,2395,0,0,0.0,,0,50
TXN0000145,2026-02-01,15,CUST35309,MER030119,RideGo,Travel,Hyderabad,Debit Card,IDFC First Bank,iOS,5982.18,Success,,1585,0,0,59.82,1.0,0,67
TXN0000146,2025-04-21,1,CUST24358,MER040025,CourseKart,Education,Mumbai,UPI,Canara Bank,Android,4850.65,Success,,882,1,0,12.13,1.0,0,39
TXN0000147,2025-05-08,15,CUST17598,MER020119,ClickZone,E-commerce,Hyderabad,Net Banking,Axis Bank,iOS,3518.42,Success,,1200,0,0,42.22,1.0,0,46
TXN0000148,2025-11-30,15,CUST13335,MER080148,StyleStreet,Retail,Pune,UPI,Axis Bank,Android,2912.08,Success,,978,0,0,7.28,3.0,0,29
TXN0000149,2025-09-01,10,CUST36665,MER020045,ClickZone,E-commerce,Bengaluru,Credit Card,IndusInd Bank,Android,3810.42,Success,,680,0,0,68.59,1.0,0,51
TXN0000150,2025-10-17,22,CUST25948,MER050048,ClinicKart,Healthcare,Chennai,Debit Card,IDFC First Bank,Android,2277.38,Success,,150,0,0,22.77,1.0,0,1
TXN0000151,2025-12-17,7,CUST26563,MER020144,ClickZone,E-commerce,Hyderabad,Credit Card,Canara Bank,Mobile Web,1828.22,Success,,871,0,0,32.91,2.0,0,13
TXN0000152,2025-06-21,6,CUST28014,MER080127,ValueMart,Retail,Mumbai,UPI,Kotak Mahindra Bank,Android,1380.73,Success,,1173,0,0,3.45,2.0,0,33
TXN0000153,2025-12-09,19,CUST24737,MER080009,DailyStore,Retail,Kolkata,Credit Card,Bank of Baroda,Android,355.03,Success,,370,0,0,6.39,2.0,0,25
